Question,Correct,Your Answer,,Topic,Difficulty
21,3,C,,"Meteorology , Interpretation of Information",4
22,1,G,,"Meteorology , Interpretation of Information",5
23,2,A,,"Biology, Interpretation of Information",1
24,3,H,,"Biology, Graph Reading , Make prediction",2
25,3,C,,"Biology, Interpretation of Information",3
26,2,G,,"Biology, Interpretation of Information",4
27,1,B,,"Biology, Interpretation of Information",5
28,2,G,,"Physics , Understanding , Assess Information",2
29,3,B,,"Physics , Comparison of Alternative viewpoints",3
30,3,G,,"Physics , Comparison of Alternative viewpoints",3
31,1,D,,"Physics , Analysis , Develop Hypothesis",3
32,3,G,,"Physics , Analysis , Develop Hypothesis",4
33,1,A,,"Physics , Understanding , Draw conclusion",4
34,2,F,,"Physics , Analysis , Develop Hypothesis",5
35,2,B,,"Chemistry , Interpretation of experimental",1
36,3,H,,"Chemistry , Interpretation of Information",2
37,0,B,,"Chemistry , Interpretation of experimental",2
38,3,H,,"Chemistry , Design of experiments , Assess",3
39,1,,,"Chemistry , Interpretation of experimental",4
40,3,,,"Chemistry , Interpretation of Information",5
