Question,Correct,Your Answer,,Topic,Difficulty
1,0,D,,"Fractions, Word Problems",1
2,1,G,,Exponents,1
3,1,B,,Word Problems,2
4,2,G,,"Word Problems, Arithmetic Mean (Average)",2
5,3,A,,"Percents, Word Problems",3
6,3,F,,"Word Problems, Perimeter",3
7,2,A,,"Simplification, Distributing, Factoring,",2
8,2,J,,Simple Solving,2
9,2,C,,Sequences & Series,3
10,1,J,,"Exponents, Radicals",4
11,2,A,,"Substitution, Volume",3
12,3,J,,Probability,3
13,2,B,,"Word Problems, Matrices",4
14,2,H,,"Arithmetic Mean (Average), Charts",3
15,3,A,,"Word Problems, Charts",4
16,2,J,,Simple Solving,3
17,0,C,,Graphs,2
18,1,F,,Permutations & Combinations,3
19,3,B,,"Ratios & Proportions, Word Problems",3
20,2,F,,Triangles,3
21,3,D,,"Properties of Numbers, Fractions",3
22,1,F,,"Graphs, Rearrangement",3
23,2,B,,"Exponents, Simple Solving",4
24,3,G,,Trigonometry,4
25,3,C,,Circles,4
26,2,J,,Simple Solving,2
27,1,D,,"Word Problems, Volume",4
28,2,H,,Trigonometry,4
29,3,D,,"Graphs, Pictograms",3
30,3,G,,Number Line,3
31,1,A,,"Systems of Equations, Graphs",3
32,3,F,,Rearrangement,3
