Question,Correct,Your Answer,,Topic,Difficulty
33,1,G,,"Triangles, Quadrilaterals, Area",4
34,2,B,,"Substitution, Rearrangement",4
35,2,G,,"Distance between Points, Midpoint",5
36,3,A,,Word Problems,4
37,0,F,,"Word Problems, Triangles",4
38,3,A,,"Quadrilaterals, Circles, Area",3
39,1,J,,Ratios & Proportions,3
40,3,C,,"Angles & Lines, Quadrilaterals",4
41,0,J,,Perimeter,3
42,1,A,,"Properties of Numbers, Fractions, Word",4
43,1,J,,"Remainders, Factors, Multiples",5
44,2,B,,Percents,2
45,3,H,,"Distance between Points, Midpoint",3
46,3,A,,"Ratios & Proportions, Circles",1
47,2,J,,"Circles, Graphs",4
48,2,C,,Complex Numbers,4
49,2,F,,Sequences & Series,2
50,1,B,,"Word Problems, Permutations &",3
51,2,F,,Inequalities,4
52,3,D,,Visualizations,3
53,2,F,,"Word Problems, Circles",3
54,2,B,,Trigonometry,5
55,3,G,,"Inequalities, Graphs",4
56,2,C,,Substitution / Plug-in,5
57,0,J,,"Graphs, Simple Solving",5
58,1,D,,"Transformations (Reflections, Shifts, Stretches)",4
59,0,H,,"Substitution, Rearrangement",4
60,1,D,,Trigonometry,5
