Question,Correct,Your Answer,,Topic,Difficulty
1,0,,,"Prose Fiction, Facts and/or Assumptions",2
2,1,,,"Prose Fiction, Inferences, Implications",3
3,1,,,"Prose Fiction, Facts and/or Assumptions",3
4,2,,,"Prose Fiction, Topic, Main Idea, Theme",1
5,3,,,"Prose Fiction, Topic, Main Idea, Theme",1
6,3,,,"Prose Fiction, Facts and/or Assumptions",3
7,2,,,"Prose Fiction, Facts and/or Assumptions",4
8,2,,,"Prose Fiction, Inferences, Implications",4
9,2,,,"Prose Fiction, Facts and/or Assumptions",3
10,1,,,"Prose Fiction, Facts and/or Assumptions",5
11,2,,,"Social Science, Topic, Main Idea, Theme",1
12,3,,,"Social Science, Facts and/or Assumptions",2
13,2,,,"Social Science, Purpose",2
14,2,,,"Social Science, Inferences, Implications",3
15,3,,,"Social Science, Facts and/or Assumptions",4
16,2,,,"Social Science, Vocabulary in Context",4
17,0,,,"Social Science, Inferences, Implications",3
18,1,,,"Social Science, Facts and/or Assumptions",3
19,3,,,"Social Science, Purpose",3
20,2,,,"Social Science, Facts and/or Assumptions",2
21,3,,,"Humanities, Topic, Main Idea, Theme",1
22,1,,,"Humanities, Facts and/or Assumptions",2
23,2,,,"Humanities, Facts and/or Assumptions",2
24,3,,,"Humanities, Purpose",3
25,3,,,"Humanities, Inferences, Implications",4
26,2,,,"Humanities, Inferences, Implications",4
27,1,,,"Humanities, Inferences, Implications",3
28,2,,,"Humanities, Facts and/or Assumptions",3
29,3,,,"Humanities, Facts and/or Assumptions",3
30,3,,,"Humanities, Inferences, Implications",2
31,1,,,"Natural Science, Inferences, Implications",1
32,3,,,"Natural Science, Facts and/or Assumptions",2
