S.I,CORRECT,YOUR ANSWER,ANSWER,TOPIC,LEVEl
1,0,,Omitted,"Prose Fiction, Facts and/or Assumptions",2
2,1,,Correct,"Prose Fiction, Inferences, Implications",3
3,1,,Correct,"Prose Fiction, Facts and/or Assumptions",3
4,2,,Incorrect,"Prose Fiction, Topic, Main Idea, Theme",1
5,3,,Correct,"Prose Fiction, Topic, Main Idea, Theme",1
6,3,,Correct,"Prose Fiction, Facts and/or Assumptions",3
7,2,,Correct,"Prose Fiction, Facts and/or Assumptions",4
8,2,,Correct,"Prose Fiction, Inferences, Implications",4
9,2,,Correct,"Prose Fiction, Facts and/or Assumptions",3
10,1,,Correct,"Prose Fiction, Facts and/or Assumptions",5
11,2,,Incorrect,"Social Science, Topic, Main Idea, Theme",1
12,3,,Correct,"Social Science, Facts and/or Assumptions",2
13,2,,Correct,"Social Science, Purpose",2
14,2,,Correct,"Social Science, Inferences, Implications",3
15,3,,Incorrect,"Social Science, Facts and/or Assumptions",4
16,2,,Correct,"Social Science, Vocabulary in Context",4
17,0,,Correct,"Social Science, Inferences, Implications",3
18,1,,Correct,"Social Science, Facts and/or Assumptions",3
19,3,,Incorrect,"Social Science, Purpose",3
20,2,,Incorrect,"Social Science, Facts and/or Assumptions",2
21,3,,Correct,"Humanities, Topic, Main Idea, Theme",1
22,1,,Correct,"Humanities, Facts and/or Assumptions",2
23,2,,Correct,"Humanities, Facts and/or Assumptions",2
24,3,,Correct,"Humanities, Purpose",3
25,3,,Correct,"Humanities, Inferences, Implications",4
26,2,,Incorrect,"Humanities, Inferences, Implications",4
27,1,,Correct,"Humanities, Inferences, Implications",3
28,2,,Incorrect,"Humanities, Facts and/or Assumptions",3
29,3,,Correct,"Humanities, Facts and/or Assumptions",3
30,3,,Incorrect,"Humanities, Inferences, Implications",2
31,1,,Incorrect,"Natural Science, Inferences, Implications",1
32,3,,Incorrect,"Natural Science, Facts and/or Assumptions",2
33,1,,Incorrect,"Natural Science, Facts and/or Assumptions",2
34,2,,Incorrect,"Natural Science, Inferences, Implications",3
35,2,,Incorrect,"Natural Science, Facts and/or Assumptions",4
36,3,,Correct,"Natural Science, Inferences, Implications",4
37,0,,Correct,"Natural Science, Facts and/or Assumptions",3
38,3,,Incorrect,"Natural Science, Facts and/or Assumptions",3
39,1,,Incorrect,"Natural Science, Facts and/or Assumptions",3
40,3,,Correct,"Natural Science, Vocabulary in Context",2
