S.I,CORRECT,YOU ANSWER,ANSWER,TOPIC,LEVEl
1,0,,Correct,"Geology , Interpretation of Information",2
2,1,,Correct,"Geology , Interpretation of Information",3
3,1,,Correct,"Geology , Interpretation of experimental",2
4,2,,Correct,"Geology , Interpretation of experimental",4
5,3,,Incorrect,"Geology , Graph Reading , Assess Information",3
6,3,,Correct,"Geology , Interpretation of experimental",4
7,2,,Incorrect,"Biology, Graph Reading , Assess Information",1
8,2,,Correct,"Biology, Graph Reading , Draw conclusion",2
9,2,,Correct,"Biology, Graph Reading , Assess Information",2
10,1,,Correct,"Biology, Interpretation of experimental results",4
11,2,,Correct,"Biology, Interpretation of Information",4
12,3,,Correct,"Chemistry , Graph Reading , Assess",1
13,2,,Correct,"Chemistry , Interpretation of experimental",3
14,2,,Correct,"Chemistry , Interpretation of experimental",3
15,3,,Correct,"Chemistry , Interpretation of experimental",4
16,2,,Correct,"Chemistry , Interpretation of experimental",4
17,0,,Correct,"Chemistry , Graph Reading , Derive New",5
18,1,,Correct,"Meteorology , Interpretation of Information",2
19,3,,Correct,"Meteorology , Interpretation of Information",3
20,2,,Correct,"Meteorology , Interpretation of Information",3
21,3,,Correct,"Meteorology , Interpretation of Information",4
22,1,,Correct,"Meteorology , Interpretation of Information",5
23,2,,Correct,"Biology, Interpretation of Information",1
24,3,,Incorrect,"Biology, Graph Reading , Make prediction",2
25,3,,Incorrect,"Biology, Interpretation of Information",3
26,2,,Correct,"Biology, Interpretation of Information",4
27,1,,Incorrect,"Biology, Interpretation of Information",5
28,2,,Incorrect,"Physics , Understanding , Assess Information",2
29,3,,Correct,"Physics , Comparison of Alternative viewpoints",3
30,3,,Incorrect,"Physics , Comparison of Alternative viewpoints",3
31,1,,Incorrect,"Physics , Analysis , Develop Hypothesis",3
32,3,,Incorrect,"Physics , Analysis , Develop Hypothesis",4
33,1,,Correct,"Physics , Understanding , Draw conclusion",4
34,2,,Correct,"Physics , Analysis , Develop Hypothesis",5
35,2,,Incorrect,"Chemistry , Interpretation of experimental",1
36,3,,Incorrect,"Chemistry , Interpretation of Information",2
37,0,,Correct,"Chemistry , Interpretation of experimental",2
38,3,,Incorrect,"Chemistry , Design of experiments , Assess",3
39,1,,Omitted,"Chemistry , Interpretation of experimental",4
40,3,,Omitted,"Chemistry , Interpretation of Information",5
