Question,Correct,Your Answer,,Topic,Difficulty
1,0,D,,"Clause Organization / Subordination, Passage i",1
2,1,G,,"Fragment, Passage i",2
3,1,B,,"Clause Organization / Subordination, No",2
4,2,G,,"Clear & Concise Writing, No Change, Passage i",3
5,3,A,,"Content, Passage i",4
6,3,F,,"Possessive / Plural, Passage i",4
7,2,A,,"Punctuation, Passage i",3
8,2,J,,"Content, No Change, Passage i",3
9,2,C,,"Clear & Concise Writing, Passage i",3
10,1,J,,"Idioms & Word Choice, Passage i",2
11,2,A,,"Passage i, Conjunctions",3
12,3,J,,"Modifiers & Modification, Passage i",4
13,2,B,,"Verb Tense / Form, Passage i",3
14,2,H,,"Verb Tense / Form, Passage i",3
15,3,A,,"Content, Passage i",5
16,2,J,,"Punctuation, Passage ii",3
17,0,C,,"Verb Tense / Form, Passage ii",1
18,1,F,,"Punctuation, Passage ii",2
19,3,B,,"Adverb / Adjective Confusion, Passage ii",4
20,2,F,,"Clear & Concise Writing, Passage ii",3
21,3,D,,"Paragraph Organization, Passage ii",4
22,1,F,,"Verb Tense / Form, No Change, Passage ii",2
23,2,B,,"Content, Passage ii",3
24,3,G,,"Content, Passage ii",4
25,3,C,,"Comparisons & Parallelism, Passage ii",4
26,2,J,,"Content, Passage ii",3
27,1,D,,"Fragment, Passage ii",2
28,2,H,,"Clear & Concise Writing, Passage ii",3
29,3,D,,"Comparisons & Parallelism, Passage ii",4
30,3,G,,"Clause Organization / Subordination, Passage",5
31,1,A,,"Possessive / Plural, Passage iii",2
32,3,F,,"Punctuation, Passage iii",4
33,1,D,,"Content, Passage iii",2
34,2,G,,"Modifiers & Modification, No Change, Passage",3
