Question,Correct,Your Answer,Result,Topic,Difficulty
1,0,0,Correct,"Prose Fiction, Facts and/or Assumptions",2
2,1,1,Correct,"Prose Fiction, Inferences, Implications",3
3,1,1,Correct,"Prose Fiction, Facts and/or Assumptions",3
4,2,0,Incorrect,"Prose Fiction, Topic, Main Idea, Theme",1
5,3,2,Incorrect,"Prose Fiction, Topic, Main Idea, Theme",1
6,3,2,Incorrect,"Prose Fiction, Facts and/or Assumptions",3
7,2,3,Incorrect,"Prose Fiction, Facts and/or Assumptions",4
8,2,3,Incorrect,"Prose Fiction, Inferences, Implications",4
9,2,2,Correct,"Prose Fiction, Facts and/or Assumptions",3
10,1,2,Incorrect,"Prose Fiction, Facts and/or Assumptions",5
11,2,1,Incorrect,"Social Science, Topic, Main Idea, Theme",1
12,3,0,Incorrect,"Social Science, Facts and/or Assumptions",2
13,2,0,Incorrect,"Social Science, Purpose",2
14,2,0,Incorrect,"Social Science, Inferences, Implications",3
15,3,2,Incorrect,"Social Science, Facts and/or Assumptions",4
16,2,1,Incorrect,"Social Science, Vocabulary in Context",4
17,0,3,Incorrect,"Social Science, Inferences, Implications",3
18,1,3,Incorrect,"Social Science, Facts and/or Assumptions",3
19,3,0,Incorrect,"Social Science, Purpose",3
20,2,1,Incorrect,"Social Science, Facts and/or Assumptions",2
21,3,1,Incorrect,"Humanities, Topic, Main Idea, Theme",1
22,1,0,Incorrect,"Humanities, Facts and/or Assumptions",2
23,2,2,Correct,"Humanities, Facts and/or Assumptions",2
24,3,2,Incorrect,"Humanities, Purpose",3
25,3,3,Correct,"Humanities, Inferences, Implications",4
26,2,0,Incorrect,"Humanities, Inferences, Implications",4
27,1,3,Incorrect,"Humanities, Inferences, Implications",3
28,2,1,Incorrect,"Humanities, Facts and/or Assumptions",3
29,3,1,Incorrect,"Humanities, Facts and/or Assumptions",3
30,3,2,Incorrect,"Humanities, Inferences, Implications",2
31,1,1,Correct,"Natural Science, Inferences, Implications",1
32,3,0,Incorrect,"Natural Science, Facts and/or Assumptions",2
