Question,Correct Answer,Your Answer,,Topic,Difficulty
Section 2,,,,,
1,E,,,"Fractions, Word Problems",1
2,H,,,Exponents,1
3,A,,,Word Problems,2
4,J,,,"Word Problems, Arithmetic Mean (Average)",2
5,D,,,"Percents, Word Problems",3
6,J,,,"Word Problems, Perimeter",3
7,A,,,"Simplification, Distributing, Factoring,",2
8,F,,,Simple Solving,2
9,C,,,Sequences & Series,3
10,H,,,"Exponents, Radicals",4
11,C,,,"Substitution, Volume",3
12,K,,,Probability,3
13,D,,,"Word Problems, Matrices",4
14,H,,,"Arithmetic Mean (Average), Charts",3
15,C,,,"Word Problems, Charts",4
16,H,,,Simple Solving,3
17,E,,,Graphs,2
18,J,,,Permutations & Combinations,3
19,A,,,"Ratios & Proportions, Word Problems",3
20,H,,,Triangles,3
21,A,,,"Properties of Numbers, Fractions",3
22,H,,,"Graphs, Rearrangement",3
23,B,,,"Exponents, Simple Solving",4
24,G,,,Trigonometry,4
25,D,,,Circles,4
26,H,,,Simple Solving,2
27,B,,,"Word Problems, Volume",4
28,G,,,Trigonometry,4
29,B,,,"Graphs, Pictograms",3
30,G,,,Number Line,3
31,B,,,"Systems of Equations, Graphs",3
32,J,,,Rearrangement,3
