Question,Correct Answer,Your Answer,,Topic,Difficulty
Section 2,,,,,
32,J,,,Rearrangement,3
33,B,,,"Triangles, Quadrilaterals, Area",4
34,K,,,"Substitution, Rearrangement",4
35,D,,,"Distance between Points, Midpoint",5
36,J,,,Word Problems,4
37,C,,,"Word Problems, Triangles",4
38,K,,,"Quadrilaterals, Circles, Area",3
39,B,,,Ratios & Proportions,3
40,K,,,"Angles & Lines, Quadrilaterals",4
41,E,,,Perimeter,3
42,F,,,"Properties of Numbers, Fractions, Word",4
43,E,,,"Remainders, Factors, Multiples",5
44,G,,,Percents,2
45,E,,,"Distance between Points, Midpoint",3
46,G,,,"Ratios & Proportions, Circles",1
47,D,,,"Circles, Graphs",4
48,J,,,Complex Numbers,4
49,D,,,Sequences & Series,2
50,F,,,"Word Problems, Permutations &",3
51,A,,,Inequalities,4
52,H,,,Visualizations,3
53,B,,,"Word Problems, Circles",3
54,J,,,Trigonometry,5
55,A,,,"Inequalities, Graphs",4
56,K,,,Substitution / Plug-in,5
57,A,,,"Graphs, Simple Solving",5
58,F,,,"Transformations (Reflections, Shifts, Stretches)",4
59,A,,,"Substitution, Rearrangement",4
60,K,,,Trigonometry,5
