S.I,CORRECT,YOU ANSWER,ANSWER,TOPIC,LEVEl
1,A,C,Omitted,"Prose Fiction, Facts and/or Assumptions",2
2,G,G,Correct,"Prose Fiction, Inferences, Implications",3
3,B,B,Correct,"Prose Fiction, Facts and/or Assumptions",3
4,F,H,Incorrect,"Prose Fiction, Topic, Main Idea, Theme",1
5,C,C,Correct,"Prose Fiction, Topic, Main Idea, Theme",1
6,J,J,Correct,"Prose Fiction, Facts and/or Assumptions",3
7,D,D,Correct,"Prose Fiction, Facts and/or Assumptions",4
8,J,J,Correct,"Prose Fiction, Inferences, Implications",4
9,C,C,Correct,"Prose Fiction, Facts and/or Assumptions",3
10,H,H,Correct,"Prose Fiction, Facts and/or Assumptions",5
11,B,D,Incorrect,"Social Science, Topic, Main Idea, Theme",1
12,F,F,Correct,"Social Science, Facts and/or Assumptions",2
13,A,A,Correct,"Social Science, Purpose",2
14,F,F,Correct,"Social Science, Inferences, Implications",3
15,C,B,Incorrect,"Social Science, Facts and/or Assumptions",4
16,G,G,Correct,"Social Science, Vocabulary in Context",4
17,D,D,Correct,"Social Science, Inferences, Implications",3
18,J,J,Correct,"Social Science, Facts and/or Assumptions",3
19,A,B,Incorrect,"Social Science, Purpose",3
20,J,G,Incorrect,"Social Science, Facts and/or Assumptions",2
21,B,B,Correct,"Humanities, Topic, Main Idea, Theme",1
22,F,F,Correct,"Humanities, Facts and/or Assumptions",2
23,C,C,Correct,"Humanities, Facts and/or Assumptions",2
24,H,H,Correct,"Humanities, Purpose",3
25,D,D,Correct,"Humanities, Inferences, Implications",4
26,F,G,Incorrect,"Humanities, Inferences, Implications",4
27,D,D,Correct,"Humanities, Inferences, Implications",3
28,G,J,Incorrect,"Humanities, Facts and/or Assumptions",3
29,B,B,Correct,"Humanities, Facts and/or Assumptions",3
30,H,F,Incorrect,"Humanities, Inferences, Implications",2
31,B,D,Incorrect,"Natural Science, Inferences, Implications",1
32,F,H,Incorrect,"Natural Science, Facts and/or Assumptions",2
33,D,A,Incorrect,"Natural Science, Facts and/or Assumptions",2
34,G,J,Incorrect,"Natural Science, Inferences, Implications",3
35,D,B,Incorrect,"Natural Science, Facts and/or Assumptions",4
36,H,H,Correct,"Natural Science, Inferences, Implications",4
37,B,B,Correct,"Natural Science, Facts and/or Assumptions",3
38,F,J,Incorrect,"Natural Science, Facts and/or Assumptions",3
39,D,A,Incorrect,"Natural Science, Facts and/or Assumptions",3
40,H,H,Correct,"Natural Science, Vocabulary in Context",2
