Question,Correct Answer,Your Answer,,Topic,Difficulty
Section 2,,,,,
1,B,B,Correct,"Geology , Interpretation of Information",2
2,J,J,Correct,"Geology , Interpretation of Information",3
3,D,D,Correct,"Geology , Interpretation of experimental",2
4,J,J,Correct,"Geology , Interpretation of experimental",4
5,B,C,Incorrect,"Geology , Graph Reading , Assess Information",3
6,G,G,Correct,"Geology , Interpretation of experimental",4
7,D,A,Incorrect,"Biology, Graph Reading , Assess Information",1
8,F,F,Correct,"Biology, Graph Reading , Draw conclusion",2
9,C,C,Correct,"Biology, Graph Reading , Assess Information",2
10,J,J,Correct,"Biology, Interpretation of experimental results",4
11,C,C,Correct,"Biology, Interpretation of Information",4
12,F,F,Correct,"Chemistry , Graph Reading , Assess",1
13,A,A,Correct,"Chemistry , Interpretation of experimental",3
14,J,J,Correct,"Chemistry , Interpretation of experimental",3
15,A,A,Correct,"Chemistry , Interpretation of experimental",4
16,H,H,Correct,"Chemistry , Interpretation of experimental",4
17,D,D,Correct,"Chemistry , Graph Reading , Derive New",5
18,J,J,Correct,"Meteorology , Interpretation of Information",2
19,B,B,Correct,"Meteorology , Interpretation of Information",3
20,F,F,Correct,"Meteorology , Interpretation of Information",3
