Question,Correct Answer,Your Answer,,Topic,Difficulty
Section 1,,,,,
1,C,,,"Clause Organization / Subordination, Passage i",1
2,G,,,"Fragment, Passage i",2
3,A,,,"Clause Organization / Subordination, No",2
4,F,,,"Clear & Concise Writing, No Change, Passage i",3
5,C,,,"Content, Passage i",4
6,G,,,"Possessive / Plural, Passage i",4
7,C,,,"Punctuation, Passage i",3
8,F,,,"Content, No Change, Passage i",3
9,D,,,"Clear & Concise Writing, Passage i",3
10,J,,,"Idioms & Word Choice, Passage i",2
11,B,,,"Passage i, Conjunctions",3
12,J,,,"Modifiers & Modification, Passage i",4
13,B,,,"Verb Tense / Form, Passage i",3
14,H,,,"Verb Tense / Form, Passage i",3
15,C,,,"Content, Passage i",5
16,H,,,"Punctuation, Passage ii",3
17,B,,,"Verb Tense / Form, Passage ii",1
18,J,,,"Punctuation, Passage ii",2
19,B,,,"Adverb / Adjective Confusion, Passage ii",4
20,J,,,"Clear & Concise Writing, Passage ii",3
21,D,,,"Paragraph Organization, Passage ii",4
22,F,,,"Verb Tense / Form, No Change, Passage ii",2
23,A,,,"Content, Passage ii",3
24,H,,,"Content, Passage ii",4
25,C,,,"Comparisons & Parallelism, Passage ii",4
26,F,,,"Content, Passage ii",3
27,D,,,"Fragment, Passage ii",2
28,J,,,"Clear & Concise Writing, Passage ii",3
29,B,,,"Comparisons & Parallelism, Passage ii",4
30,J,,,"Clause Organization / Subordination, Passage",5
31,B,,,"Possessive / Plural, Passage iii",2
32,J,,,"Punctuation, Passage iii",4
33,C,,,"Content, Passage iii",2
34,F,,,"Modifiers & Modification, No Change, Passage",3
