S.I,CORRECT,YOUR ANSWER,ANSWER,TOPIC,LEVEl
1,C,,Correct,"Clause Organization / Subordination, Passage i",1
2,G,,Correct,"Fragment, Passage i",2
3,A,,Correct,"Clause Organization / Subordination, No",2
4,F,,Incorrect,"Clear & Concise Writing, No Change, Passage i",3
5,C,,Correct,"Content, Passage i",4
6,G,,Correct,"Possessive / Plural, Passage i",4
7,C,,Correct,"Punctuation, Passage i",3
8,F,,Correct,"Content, No Change, Passage i",3
9,D,,Correct,"Clear & Concise Writing, Passage i",3
10,J,,Correct,"Idioms & Word Choice, Passage i",2
11,B,,Correct,"Passage i, Conjunctions",3
12,J,,Correct,"Modifiers & Modification, Passage i",4
13,B,,Correct,"Verb Tense / Form, Passage i",3
14,H,,Correct,"Verb Tense / Form, Passage i",3
15,C,,Correct,"Content, Passage i",5
16,H,,Correct,"Punctuation, Passage ii",3
17,B,,Correct,"Verb Tense / Form, Passage ii",1
18,J,,Correct,"Punctuation, Passage ii",2
19,B,,Correct,"Adverb / Adjective Confusion, Passage ii",4
20,J,,Incorrect,"Clear & Concise Writing, Passage ii",3
21,D,,Correct,"Paragraph Organization, Passage ii",4
22,F,,Incorrect,"Verb Tense / Form, No Change, Passage ii",2
23,A,,Incorrect,"Content, Passage ii",3
24,H,,Correct,"Content, Passage ii",4
25,C,,Correct,"Comparisons & Parallelism, Passage ii",4
26,F,,Incorrect,"Content, Passage ii",3
27,D,,Incorrect,"Fragment, Passage ii",2
28,J,,Correct,"Clear & Concise Writing, Passage ii",3
29,B,,Correct,"Comparisons & Parallelism, Passage ii",4
30,J,,Correct,"Clause Organization / Subordination, Passage",5
31,B,,Correct,"Possessive / Plural, Passage iii",2
32,J,,Correct,"Punctuation, Passage iii",4
33,C,,Correct,"Content, Passage iii",2
34,F,,Incorrect,"Modifiers & Modification, No Change, Passage",3
35,D,,Correct,"Clear & Concise Writing, Passage iii",3
36,G,,Correct,"Modifiers & Modification, Passage iii",4
37,B,,Incorrect,"Clear & Concise Writing, Passage iii",1
38,G,,Correct,"Content, Passage iii",4
39,A,,Incorrect,"Punctuation, No Change, Passage iii",2
40,F,,Incorrect,"Content, Passage iii",5
41,A,,Correct,"No Change, Passage iii, Conjunctions",1
42,J,,Correct,"Modifiers & Modification, Passage iii",3
43,C,,Correct,"Content, Passage iii",3
44,J,,Correct,"Verb Tense / Form, Passage iii",2
45,A,,Correct,"Paragraph Organization, Passage iii",4
46,J,,Correct,"Content, Passage iv",2
47,B,,Correct,"Verb Tense / Form, Passage iv",2
48,H,,Correct,"Verb Tense / Form, Passage iv",3
49,A,,Correct,"Paragraph Organization, Passage iv",4
50,J,,Incorrect,"Clear & Concise Writing, Passage iv",2
51,C,,Correct,"Pronoun Shift, Passage iv",3
52,F,,Incorrect,"Idioms & Word Choice, Passage iv",3
53,B,,Incorrect,"Punctuation, Passage iv",2
54,F,,Incorrect,"Content, No Change, Passage iv",4
55,D,,Correct,"Clear & Concise Writing, Passage iv",3
56,F,,Correct,"Pronoun Shift, No Change, Passage iv",3
57,B,,Incorrect,"Punctuation, Passage iv",3
58,G,,Correct,"Clear & Concise Writing, Passage iv",3
59,C,,Correct,"Adverb / Adjective Confusion, Passage iv",4
60,J,,Correct,"Content, Passage iv",5
61,D,,Incorrect,"Punctuation, Passage v",2
62,H,,Correct,"Idioms & Word Choice, Passage v",3
63,D,,Incorrect,"Punctuation, Passage v",4
64,G,,Incorrect,"Content, Passage v",4
65,A,,Correct,"Clear & Concise Writing, No Change, Passage v",3
66,F,,Incorrect,"Clear & Concise Writing, No Change, Passage v",4
67,D,,Correct,"Comparisons & Parallelism, Passage v",3
68,G,,Incorrect,"Fragment, Passage v",3
69,A,,Correct,"Punctuation, No Change, Passage v",2
70,F,,Correct,"Idioms & Word Choice, No Change, Passage v",3
71,C,,Correct,"Content, Passage v",5
72,H,,Incorrect,"Modifiers & Modification, Passage v",4
73,C,,Correct,"Paragraph Organization, Passage v",4
74,H,,Incorrect,"Content, Passage v",3
75,D,,Incorrect,"Content, Passage v",4
